id,nom,description,prix,categorie
1,Robe d'ete fleurie,Robe legere en coton bio motif floral idéale pour l'ete,45,mode femme
2,Canape 3 places gris,Canape convertible tissu gris anthracite confort premium,890,mobilier
3,Machine a cafe expresso,Machine a expresso automatique avec broyeur integre,299,electromenager
4,Sac a dos randonnee 40L,Sac a dos impermeable pour trek plusieurs jours,89,sport et plein air
5,Creme hydratante visage,Creme hydratante bio pour tous types de peau 50ml,24,beaute et cosmetique
6,Velo electrique urbain,Velo electrique autonomie 60km ideal trajets quotidiens,1290,mobilite
7,Set de casseroles inox,Set de 5 casseroles inox compatible induction,159,cuisine
8,Tente 2 places,Tente de camping legere montage rapide etanche,120,sport et plein air
9,Parfum homme boise,Eau de toilette notes boisees et epicees 100ml,68,beaute et cosmetique
10,Table basse bois massif,Table basse chene massif design scandinave,349,mobilier
11,Trottinette electrique pliable,Trottinette electrique 25km autonomie pliage rapide,399,mobilite
12,Kit jardinage complet,Kit outils de jardinage 8 pieces avec sac de transport,55,jardin
13,Chaussures running homme,Chaussures de running amorti reactif respirant,89,sport et plein air
14,Aspirateur robot,Aspirateur robot connecte cartographie intelligente,249,electromenager
15,Manteau hiver femme,Manteau chaud impermeable capuche amovible,120,mode femme
16,Barbecue gaz 3 feux,Barbecue gaz exterieur 3 bruleurs avec desserte,229,jardin
17,Montre connectee sport,Montre connectee suivi cardio et sommeil etanche,159,sport et plein air
18,Shampoing bio sans sulfate,Shampoing naturel pour cheveux colores 300ml,15,beaute et cosmetique
19,Bibliotheque murale 5 etageres,Bibliotheque bois blanc 5 etageres ajustables,145,mobilier
20,Casque velo urbain,Casque velo leger ventile reglable,45,mobilite
